# t[min], I[A], T[°C]
0   4       -72
1   4.5     -71.2
2   5       -70.3
3   5       -69.3
4   5       -68.6
5   4       -67.5
6   4       -66.1
7   5       -64.0
8   5       -62.2
9   4       -60.1
10  5       -58.3
11  4       -56.3
12  4       -54.8
13  4       -53.2
14  4       -52.0
16  4       -49.3
17  4       -48.2
18  1       -47.0
19  -3.5    -45.8
20  0.5     -44.6
21  0       -43.4
22  1       -42.3
23  0       -41.0
24  -1      -40.0
25  -1      -38.9
26  -2      -37.7
27  -4      -36.6
28  -5      -35.6
29  -6      -34.6
30  -7      -33.5
31  -8      -32.5
32  -12     -31.6
33  -14     -30.7
34  -18     -29.6
35  -20     -28.8
36  -22     -27.8
37  -26     -26.8
38  -28     -25.9
39  -31     -25.1
40  -36     -24.2
41  -40     -23.4
42  -42     -22.5
43  -45     -21.6
44  -46     -20.8
45  -49     -20.1
46  -50     -19.3
47  -51     -18.5
48  -51     -17.7
49  -50     -17.0
50  -49     -16.3
51  -48     -15.5
52  -43     -14.8
53  -39     -14
54  -34     -13.3
55  -30     -12.6
56  -25     -12.0
57  -22     -11.3
58  -19     -10.7  
59  -16     -10.0
60  -13     -9.4  
61  -12     -8.8
62  -10     -8.1
63  -8      -7.5  
64  -8      -7
65  -8      -6.3
66  -6      -5.8
67  -6      -5    
68  -8      -4.5
69  -8      -4
70  -8      -3.3
71  -8      -3
72  -6      -2.4
73  -8      -1.9
74  -8      -1.4
75  -8      -0.9
76  -8      -0.4
77  -9      0
78  -10     0.9
79  -9      1.9
80  -10     2.8
81  -11     3.7
82  -13     4.7
83  -14     5.5
84  -15     6.6
85  -16     7.4
86  -16     8.2
87  -18     9.1
88  -18     10.1
89  -18     10.9
90  -18     11.7
91  -19     12.5
92  -19     13.2
93  -19     14.0
94  -19     14.8
95  -19     15.5
96  -19     16.1
97  -19     16.9
98  -19     17.7
99  -19     18.6
100 -20     19.6
101 -20     20.4
