#/phi in °      I in /muA P_max 6,000 \muW
0               0.09
5               0.23
10              0.45
15              0.69
20              0.92
25              1.27
30              1.74
35              2.18
40              2.45
45              3.30
50              3.49
55              3.79
60              4.24
65              4.72
70              6.87
75              5.83
80              5.82
85              6.21
90              5.86
95              5.57
100             6.26
105             5.64
110             5.06
115             4.29
120             3.96
125             3.23
130             2.42
135             1.96
140             1.48
145             1.03
150             0.75
155             0.36
160             0.18
165             0.04
170             0.00485
175             0.02747
180             0.10924
185             0.26
190             0.43
195             0.67
200             0.98
205             1.23
210             1.68
215             1.92
220             2.35
225             2.85
230             3.39
235             3.68
240             4.05
245             4.56
250             4.98
255             5.72
260             5.92
265             5.77
270             5.71
275             6.34
280             5.58
285             5.37
290             5.18
295             4.79
300             3.97
305             3.46
310             2.93
315             2.25
320             1.53
325             1.12
330             0.79
335             0.43
340             0.19
345             0.05
350             0.003
355             0.26
